text,intent,style
bawa baarish ki vjh se 5 min late honga,report_delay,abbreviated
arsta dikhao bawa,navigation_help,augmented_spelling
boss baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
yaar baarish ki wajah se 10 minute late honga,report_delay,abbreviated
yaar accident ki wajah se 15 mins late honga,report_delay,casual_hindi
15 mins late pahunchunga bheed h,report_delay,abbreviated
20 min late pahunchung aaccident hai,report_delay,augmented_spelling
15 mins late pahunchunga bheed hai,report_delay,augmented_spelling
ek ghanta late pahunchunga traffi chai,report_delay,augmented_spelling
location send karo ustad,get_address,augmented_spelling
bhai bheed ki wajah se ek ghanta late honga,report_delay,abbreviated
boss traffic ki waah se 10 minute late honga,report_delay,augmented_spelling
package damage ho gaya guru,order_issue,abbreviated
aadh ghanta late pahunchunga tyre puncture hai,report_delay,augmented_spelling
sir mujhe aane mein 10 minutel agenge,report_delay,augmented_spelling
yaar tyre puncture ki vjh se aadh ghanta late honga,report_delay,abbreviated
mahoday mujhe aane mein 20 min lagenge,report_delay,formal_hindi
20 min late pahunchunga bheed h,report_delay,abbreviated
bh traffic ki wajah se 15 mins late honga,report_delay,abbreviated
guru accident ki wjh se aadh ghanta late honga,report_delay,abbreviated
boss petrol hkatam ki wajah se 5 min late honga,report_delay,augmented_spelling
bawa traffic ki wajahs e 20 min late honga,report_delay,augmented_spelling
sir aagami aadesh ka pata pradan karein,get_address,abbreviated
bhaiya petrol khatam ki wajah se 5 min late honga,report_delay,abbreviated
15 mins late pahunchunga baarish hai,report_delay,augmented_spelling
ek ghanta late pahunchunga barish hai,report_delay,augmented_spelling
bhia accident ki wajah se 5 min late honga,report_delay,augmented_spelling
late ho jaunga 1 mins,report_delay,augmented_spelling
aadh ghanta late pahunchunga baarish hai,report_delay,augmented_spelling
5 min late pahunchunga accident h,report_delay,abbreviated
guru tyre puncture ki vjh se 10 minute late honga,report_delay,abbreviated
bhaiya petrol khatam ki wajah s e5 min late honga,report_delay,augmented_spelling
20 min late pahunchunga accident hai,report_delay,casual_hindi
boss traffic ki waajh se ek ghanta late honga,report_delay,augmented_spelling
guru baarish ki vjh se ek ghanta late honga,report_delay,abbreviated
late ho jaugna aadh ghanta,report_delay,augmented_spelling
10 minute late pahunchunga petrol khatam h,report_delay,abbreviated
gate par oki nahi hai yaar,customer_unavailable,augmented_spelling
boss bheed ki wajah se aadh ghanta late honga,report_delay,casual_hindi
5 min late pahucnhunga bheed hai,report_delay,augmented_spelling
customer mil nahi raha,customer_unavailable,augmented_spelling
20 min late pahunchunga petrol khatam h,report_delay,abbreviated
aadh ghanta late pahunchunga baarish h,report_delay,abbreviated
sir mujhe aane ein 15 mins lagenge,report_delay,augmented_spelling
traffic ke karan delay hoga,report_delay,abbreviated
bhai baarish ki wajah se ek ghanta late honga,report_delay,casual_hindi
bh traffic ki wajah se 15 mins late honga,report_delay,abbreviated
sir mujhe aane mein 15 mins lagenge,report_delay,formal_hindi
ustad accident ki wajah se ek ghanta late honga,report_delay,abbreviated
yaar bheed ki wajah se2 0 min late honga,report_delay,augmented_spelling
sir parcel kshatigrast hai,order_issue,abbreviated
5 min late pahunchunga accident h,report_delay,abbreviated
10 minut late pahunchunga baarish hai,report_delay,augmented_spelling
kripya mujhe aane mein 15 mins lagenge,report_delay,abbreviated
item missing h,order_issue,abbreviated
ek ghanta late pahunchunga tyre puncture hai,report_delay,abbreviated
mahoday aagami aadesh ka pata pradan karein,get_address,formal_hindi
5 min late pahunchunga tyre puncture hai,report_delay,augmented_spelling
rasta dikhao ustad,navigation_help,augmented_spelling
ustad traffic ki waja hse 20 min late honga,report_delay,augmented_spelling
tyre puncture ki wajah se 15 mins late honga,report_delay,augmented_spelling
20 min late pahunchunga baarish hai,report_delay,augmented_spelling
20 min late pahunchunga traffic hai,report_delay,casual_hindi
kripya grahak sampark mein nahi hain,customer_unavailable,formal_hindi
15 mins late pahunchunga tyre puncture hai,report_delay,casual_hindi
guru bheed ki wajah se 15 mins late honga,report_delay,abbreviated
guru bheed ki vjh se 10 minute late honga,report_delay,abbreviated
sir mujh eaane mein 15 mins lagenge,report_delay,augmented_spelling
late ho jaunga 5 min,report_delay,casual_hindi
15 mins late pahunchunga petrol khatam h,report_delay,abbreviated
rasta dikhao bhai,navigation_help,abbreviated
late ho jauna 5 min,report_delay,augmented_spelling
10 minute late pahunchunga tyre puncture hai,report_delay,abbreviated
boss petrol khatam ki wajah se 5 min late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga tyre puncture hai,report_delay,augmented_spelling
aadh ghanta late pahunchunga tyre puncture hai,report_delay,abbreviated
locatin send karo yaar,get_address,augmented_spelling
bhai baarish ki wajah se 20 min late honga,report_delay,casual_hindi
package damage ho gaya bhai,order_issue,casual_hindi
bhai tye puncture ki wajah se ek ghanta late honga,report_delay,augmented_spelling
yaar traffic ki wjh se aadh ghanta late honga,report_delay,abbreviated
5 min late pahunchunga tyre puncture h,report_delay,abbreviated
baarish ki wjh se 10 minute late honga,report_delay,abbreviated
sir mujhe aane mein 01 minute lagenge,report_delay,augmented_spelling
5 min late pahunchunga accident h,report_delay,abbreviated
kripya parcel kshatigrast hai,order_issue,abbreviated
bhaiya petrol khatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
15 mins late phunchunga bheed hai,report_delay,augmented_spelling
10 minute late aphunchunga bheed hai,report_delay,augmented_spelling
ustad traffic ki wajah se 5 min late honga,report_delay,augmented_spelling
15 mins late pahunchunga accident hai,report_delay,augmented_spelling
ek ghanta late pahunchunga accident h,report_delay,abbreviated
ustad baarish ki wajah se aadh ghanta late honga,report_delay,abbreviated
aadh ghanta late pahunchunga traffic hai,report_delay,augmented_spelling
boss petrol khatam ki vjh se 10 minute late honga,report_delay,abbreviated
yaar traffic ki wajah se 5 min late honga,report_delay,abbreviated
bhaiya baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
package damage ho gaya bh,order_issue,abbreviated
5 min late pahunchnga baarish hai,report_delay,augmented_spelling
packae damage ho gaya,order_issue,augmented_spelling
ek ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
5 min late pahunchunga tyre puncture h,report_delay,abbreviated
aadh ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
bhai accident ki wajah se 20 min late honga,report_delay,augmented_spelling
5 min late pahuncuhnga accident hai,report_delay,augmented_spelling
5 min late pahunchunga traffic hai,report_delay,casual_hindi
aadh ghanta late pahunchunga acicdent hai,report_delay,augmented_spelling
boss baarish ki wajah se ek ghanta late honga,report_delay,augmented_spelling
late ho jaunga 15m ins,report_delay,augmented_spelling
aadh ghanta late pahnchunga petrol khatam hai,report_delay,augmented_spelling
20 min late pahunchunga bheed h,report_delay,abbreviated
rasta dikhao bhiaya,navigation_help,augmented_spelling
10 minute late pahunchunga petrol khatam hai,report_delay,augmented_spelling
10 minute late pahunhunga traffic hai,report_delay,augmented_spelling
customer mil nahi raha,customer_unavailable,augmented_spelling
yaar traffic ki vjh se 10 minute late honga,report_delay,abbreviated
5 min late pahunchunga baarish hai,report_delay,augmented_spelling
5 mni late pahunchunga bheed hai,report_delay,augmented_spelling
accident ki vjh se ek ghanta late honga,report_delay,abbreviated
ek ghanta late pahunchunga accident hai,report_delay,casual_hindi
bhai next order ka address batao,get_address,augmented_spelling
order radd krna hai,order_issue,augmented_spelling
guru order cancel kar do,order_issue,casual_hindi
5 min late pahunchunga baarish h,report_delay,abbreviated
ocation send karo bawa,get_address,augmented_spelling
5 min late pahunchunga petro lkhatam hai,report_delay,augmented_spelling
bhaiya baarish ki vjh se 20 min late honga,report_delay,abbreviated
ustad traffic ki wjh se ek ghanta late honga,report_delay,abbreviated
bhaiya petrol khatam ki wajah se aadh ghanta late hoga,report_delay,augmented_spelling
gurub aarish ki wajah se 5 min late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga bheed h,report_delay,abbreviated
number not reachable hai,customer_unavailable,augmented_spelling
boss accident ki wajah se 10 minute late honga,report_delay,casual_hindi
5 min late pahunchunga bheed h,report_delay,abbreviated
galat order de diy ahai,order_issue,augmented_spelling
package damage ho gaya yaar,order_issue,augmented_spelling
ek ghanta late pahunchunga petrol khatam h,report_delay,abbreviated
galat roder de diya hai,order_issue,augmented_spelling
petrol khaatm ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
rasta dikhao bhaiya,navigation_help,abbreviated
late oh jaunga aadh ghanta,report_delay,augmented_spelling
aadh ghanta late pahunchunga petrol khatam hai,report_delay,casual_hindi
5 min ltae pahunchunga baarish hai,report_delay,augmented_spelling
bhaiya bheed ki wajah se aadh ghanta late honga,report_delay,casual_hindi
location send karo bawa,get_address,casual_hindi
20 min late pahunchunga tyre puncture h,report_delay,abbreviated
5 min late pahunchunga accident hai,report_delay,augmented_spelling
bhaiya bheed ki wajah se 15 mns late honga,report_delay,augmented_spelling
rasta dikaho,navigation_help,augmented_spelling
sahi mag dikhayein,navigation_help,augmented_spelling
5 mn late pahunchunga petrol khatam hai,report_delay,augmented_spelling
baarish kek aran delay hoga,report_delay,augmented_spelling
boss customer kidhar hai,get_address,casual_hindi
guru petrol khatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
galat order de diya hai,order_issue,augmented_spelling
petrol khatam ke karan delay hoga,report_delay,augmented_spelling
kripya aagami aadesh ka pata pradan karein,get_address,augmented_spelling
bawa accident ki vjh se 10 minute late honga,report_delay,abbreviated
10 minute late pahunchunga traffic h,report_delay,abbreviated
guru accident ki wajah se 20 mi late honga,report_delay,augmented_spelling
bawa petrol khatam ki wajah se 10 minute late honga,report_delay,abbreviated
guru bheed ki wajah se 15 mins late honga,report_delay,augmented_spelling
15 mins late pahunchunga bheed hai,report_delay,casual_hindi
ek ghanta late pahunchunga baarish hai,report_delay,augmented_spelling
gate par koi ni h bhi,customer_unavailable,abbreviated
yaar hbeed ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
10 minute late pahunchunga petrol khatam hai,report_delay,augmented_spelling
tyre puncture ki wajah se 5 min late honga,report_delay,casual_hindi
ustad baarish ki wjh se ek ghanta late honga,report_delay,abbreviated
ustad baarish ki vjh se ek ghanta late honga,report_delay,abbreviated
ek ghanta late pahunchunga accident h,report_delay,abbreviated
15 mins late pahunchunga traffic hai,report_delay,augmented_spelling
ustad accident ki wajah se 10 minute late honga,report_delay,casual_hindi
20 min late pahunchunga baarish ahi,report_delay,augmented_spelling
location send karo obss,get_address,augmented_spelling
late h jaunga 10 minute,report_delay,augmented_spelling
bawa next order a address batao,get_address,augmented_spelling
guru accident ki wajah se 1 mins late honga,report_delay,augmented_spelling
bawa baarish ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
beed ki wajah se ek ghanta late honga,report_delay,augmented_spelling
locaton samajh nahi aa raha,navigation_help,augmented_spelling
adh ghanta late pahunchunga bheed hai,report_delay,augmented_spelling
late ho jaunga aadh ghanta,report_delay,abbreviated
custmer phone nahi utha raha,customer_unavailable,augmented_spelling
10 minute late pahunchunga accident hai,report_delay,abbreviated
10 minute late pahunchunga traffic hai,report_delay,casual_hindi
package damage ho gaya bawa,order_issue,abbreviated
15 mins late pahunchunga bheed hai,report_delay,casual_hindi
late ho jaunga 15 mins,report_delay,abbreviated
custome mil nahi raha,customer_unavailable,augmented_spelling
20 min late pahunchunga bhee dhai,report_delay,augmented_spelling
15 mins late pahunchuga baarish hai,report_delay,augmented_spelling
5 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
bhaiya customer kidhar h,get_address,abbreviated
5 min late pahunchunga baarish hai,report_delay,augmented_spelling
10 minute late pahunchunga raffic hai,report_delay,augmented_spelling
10 minute late pahunchunga tyre puncture h,report_delay,abbreviated
5 min late pahnchunga tyre puncture hai,report_delay,augmented_spelling
20 min late pahunchunga accident hai,report_delay,casual_hindi
ek ghanta late pahunchunga baarish hai,report_delay,abbreviated
boss traffic ki wjh se 5 min late honga,report_delay,abbreviated
guru accident ki wajah se 20 min late honga,report_delay,augmented_spelling
15 mins late pahunchunga tyre puncture h,report_delay,abbreviated
baarish ki wajah se 10 minute late honga,report_delay,casual_hindi
5 min late pahuncunga bheed hai,report_delay,augmented_spelling
kripya map kaam nahi kar rha,navigation_help,abbreviated
order radd karna hai,order_issue,formal_hindi
yaar next order ka adr batao,get_address,abbreviated
map stuck ho gaya hai,navigation_help,augmented_spelling
bawa customer kidhr hai,get_address,augmented_spelling
ek ghanta late ahunchunga accident hai,report_delay,augmented_spelling
late ho jaunag 10 minute,report_delay,augmented_spelling
ek ghanta late pahunchunga petrol khatam hai,report_delay,augmented_spelling
bhaiya tyre puncture ki wajah se 10 minute late honga,report_delay,abbreviated
item missig hai,order_issue,augmented_spelling
10 minute late pahunchunga baarish hai,report_delay,abbreviated
boss traffic ki wajah se 10 minute laet honga,report_delay,augmented_spelling
10 minute late pahunchunga acident hai,report_delay,augmented_spelling
gur uaccident ki wajah se 10 minute late honga,report_delay,augmented_spelling
late ho jaung aek ghanta,report_delay,augmented_spelling
late ho jaunga 15 mins,report_delay,abbreviated
bh tyre puncture ki wjh se 5 min late honga,report_delay,abbreviated
15 mins late pahunchunga accident hai,report_delay,abbreviated
20 min late pahunchunga traffic h,report_delay,abbreviated
accident ki vjh se aadh ghanta late honga,report_delay,abbreviated
10 minute late pahunchunga bheed hai,report_delay,abbreviated
bos sbaarish ki wajah se ek ghanta late honga,report_delay,augmented_spelling
item missing h,order_issue,abbreviated
tyre puncture ke karan delay hoga,report_delay,abbreviated
5 min latep ahunchunga baarish hai,report_delay,augmented_spelling
mahoday map kaam nahi kar raha,navigation_help,augmented_spelling
item missing hai,order_issue,casual_hindi
bawa next order ka address batao,get_address,casual_hindi
sir grahak sampark mein nahi ahin,customer_unavailable,augmented_spelling
late h jaunga 10 minute,report_delay,augmented_spelling
customer mil nahi raha,customer_unavailable,casual_hindi
late ho jaunga 10 minute,report_delay,casual_hindi
yaar bheed ki wajah se 15 mins late honga,report_delay,casual_hindi
traffic ki wajah se aadh ghanta late honga,report_delay,abbreviated
awa bheed ki wajah se ek ghanta late honga,report_delay,augmented_spelling
20 min late pahunchunga trafic hai,report_delay,augmented_spelling
sir mujhe aane mein 5 min lagenge,report_delay,abbreviated
guru petrol khatam ki wajah se 15 mins late honga,report_delay,augmented_spelling
aadh ghanta late pahunchunga bheed h,report_delay,abbreviated
gate par koi nhi hai guru,customer_unavailable,abbreviated
baarish ke karan delay hoga,report_delay,formal_hindi
ustad tyre puncture ki wajah se 5 min late honga,report_delay,abbreviated
aadh ghanta late pahunchunga petrol khatam hai,report_delay,abbreviated
accident ki vjh se aadh ghanta late honga,report_delay,abbreviated
5 min late pahunchunga tyre punctre hai,report_delay,augmented_spelling
tyre puncture ki wajah se 20 min late honga,report_delay,abbreviated
aadh ghanta late aphunchunga baarish hai,report_delay,augmented_spelling
10 minute late pahunchunga traffic h,report_delay,abbreviated
aadh ghanta late pahunchunga accident hai,report_delay,casual_hindi
aadh ghanta late pahunchunga accident h,report_delay,abbreviated
10 minute late pauhnchunga accident hai,report_delay,augmented_spelling
20 min late pahunchunga traffic h,report_delay,abbreviated
bawa baarish ki wajah se 5 min late honga,report_delay,casual_hindi
guru accident ki vjh se 10 minute late honga,report_delay,abbreviated
bhai bheed ki wjh se aadh ghanta late honga,report_delay,abbreviated
boss petrol khatam ki wajah se ek ghanta late honga,report_delay,augmented_spelling
guru tyre puncture ki wajah se 20 min late honga,report_delay,abbreviated
5 min late pahunchunga traffic hai,report_delay,casual_hindi
sir parcel kshatigrast hai,order_issue,formal_hindi
20 min late pahunchunga accident hai,report_delay,casual_hindi
galat rder de diya hai,order_issue,augmented_spelling
petrol hatam ke karan delay hoga,report_delay,augmented_spelling
bawa traffic ki wajah se 15 mins late honga,report_delay,casual_hindi
20 min late pahunchunga bheed hai,report_delay,casual_hindi
bhi tyre puncture ki vjh se 15 mins late honga,report_delay,abbreviated
gps han ho gaya,navigation_help,augmented_spelling
customer kidhar hai,get_address,casual_hindi
5 min late pahunchunga petrol khatam hai,report_delay,abbreviated
15 mins late pahunchunga bheed hai,report_delay,casual_hindi
guru tyre puncture ki waja hse 20 min late honga,report_delay,augmented_spelling
bawa hbeed ki wajah se 20 min late honga,report_delay,augmented_spelling
orde cancel kar do,order_issue,augmented_spelling
customer mil ni rha,customer_unavailable,abbreviated
20 min late pahunchunga tyre puncture h,report_delay,abbreviated
20 min late pahunchunga accident h,report_delay,abbreviated
rasta dikhao guru,navigation_help,abbreviated
15 mins late pahunchunga petrol khatam h,report_delay,abbreviated
tyre puncture ki vjh se 20 min late honga,report_delay,abbreviated
10 minute late pahunchunga tyre puncture hai,report_delay,abbreviated
10 minute late pahunchunga tyre puncture hai,report_delay,augmented_spelling
aadh ghanta late pauhnchunga baarish hai,report_delay,augmented_spelling
bhaiya petrol khatam ki wjh se 5 min late honga,report_delay,abbreviated
location samjah nahi aa raha,navigation_help,augmented_spelling
guru next order ka add batao,get_address,abbreviated
petrol khatam ki wajah se 20 min late honga,report_delay,casual_hindi
15 mins late phaunchunga traffic hai,report_delay,augmented_spelling
baarish ki wajah se 15 mins late honga,report_delay,casual_hindi
customer kidhar h,get_address,abbreviated
boss traffic ki wajah se 10 minute late honga,report_delay,abbreviated
ustad accident ki wajah s 20 min late honga,report_delay,augmented_spelling
5 min late pahunchunga tyre puncture hai,report_delay,abbreviated
bhai traffic ki wajah sea adh ghanta late honga,report_delay,augmented_spelling
20 min late pahunchunga traffic hai,report_delay,augmented_spelling
ustad accident ki wajah se aadh ghanta late honga,report_delay,abbreviated
boss petrol khatam ki wajah se 10 minute late honga,report_delay,casual_hindi
traffic ki wjh se 15 mins late honga,report_delay,abbreviated
bhaiya baarish ki wajah se 10 minute late honga,report_delay,augmented_spelling
guru order cancel ka do,order_issue,augmented_spelling
yaar customer kidhar hai,get_address,augmented_spelling
5 min late pahunchunga petrol khatam h,report_delay,abbreviated
yaar bheed ki wajah se ek ghanta late honga,report_delay,abbreviated
ek ghanta late pahunchunga accident h,report_delay,abbreviated
late ho jaunga aadh ghanta,report_delay,casual_hindi
kripya mujhe aane mein ek ghanta lagenge,report_delay,abbreviated
bhaiya accident ki wajah se ek ghanta late honga,report_delay,casual_hindi
15 mins late pahunchunga petrol khatam hai,report_delay,casual_hindi
boss tyre puncture ki wajah se ek ghanta late honga,report_delay,abbreviated
bhaiya baarish ki wjh se 10 minute late honga,report_delay,abbreviated
15 mins late pahunchunga accident hai,report_delay,augmented_spelling
5 min late pahunchunga traffich ai,report_delay,augmented_spelling
15 mins late pahunchunga petrol khatam hai,report_delay,abbreviated
bhaiya bheed ki wajah se 10 minute late honga,report_delay,augmented_spelling
ustad orde cancel kar do,order_issue,augmented_spelling
10 minute late phaunchunga baarish hai,report_delay,augmented_spelling
5 min late pahunchunga petrol khatam hai,report_delay,augmented_spelling
location samajh ni aa raha,navigation_help,abbreviated
20 min late pahunchunga baarish hai,report_delay,abbreviated
15m ins late pahunchunga traffic hai,report_delay,augmented_spelling
yaar petrol khatam ki wajah se aadh ghanta late honga,report_delay,casual_hindi
yaar customer kidhar hai,get_address,augmented_spelling
boss petrol khatam ki waja hse 20 min late honga,report_delay,augmented_spelling
baarish ke karan delay hoga,report_delay,formal_hindi
bhaiya tyre puncture ki wajah se 20 min late honga,report_delay,casual_hindi
15 mins late pahunchunga bheed hai,report_delay,augmented_spelling
bhaiya petrol khatam ki vjh se 10 minute late honga,report_delay,abbreviated
guru traffic ki wajah se 15 mins late honga,report_delay,abbreviated
bhi baarish ki vjh se aadh ghanta late honga,report_delay,abbreviated
bawa baarish ki wajah se 10 minute late honga,report_delay,casual_hindi
location sen dkaro ustad,get_address,augmented_spelling
10 minute late pahunchunga petrol khatam hai,report_delay,augmented_spelling
20 min late pahunchunga baarish hai,report_delay,abbreviated
aadh ghanta late pahunchunga bheed hai,report_delay,augmented_spelling
ustad petrol khatam ki wajah se 5 min late honga,report_delay,abbreviated
ustad baarish ki wjh se aadh ghanta late honga,report_delay,abbreviated
5 min late pahunchugna petrol khatam hai,report_delay,augmented_spelling
location send kr guru,get_address,abbreviated
bawa accident ki wajah se 20 min late honga,report_delay,casual_hindi
mahoday mujhe aane mein 15 mins lagenge,report_delay,formal_hindi
location samajh nahi aa raha,navigation_help,casual_hindi
10 minute late pahunchunga bheed h,report_delay,abbreviated
ek ghanta late ahunchunga traffic hai,report_delay,augmented_spelling
10 minute late pahunchunga tyre puncture h,report_delay,abbreviated
boss petrol khatam ki wjh se aadh ghanta late honga,report_delay,abbreviated
15 mins late pahunchunga eptrol khatam hai,report_delay,augmented_spelling
bhaiya tyre puncture ki wjh se ek ghanta late honga,report_delay,abbreviated
5 min alte pahunchunga accident hai,report_delay,augmented_spelling
5 min laet pahunchunga petrol khatam hai,report_delay,augmented_spelling
kripya mujhe aane mein 5 min lagenge,report_delay,augmented_spelling
gps hng ho gaya,navigation_help,augmented_spelling
10 minute late pahunchunga accident hai,report_delay,augmented_spelling
late ho jaunga 20 min,report_delay,augmented_spelling
customer miln ahi raha,customer_unavailable,augmented_spelling
15 mins late pahunchunga traffic h,report_delay,abbreviated
kripya mujhea ane mein aadh ghanta lagenge,report_delay,augmented_spelling
customer mil nahi raha,customer_unavailable,casual_hindi
bawa traffic ki wjh se 5 min late honga,report_delay,abbreviated
ustad tyre puncture ki wjh se 15 mins late honga,report_delay,abbreviated
bawa bheed ki wajah se 10 minute late honga,report_delay,augmented_spelling
5 min late pahunchunga traffic hai,report_delay,abbreviated
late ho jaunga 15 mins,report_delay,casual_hindi
5 min late pahunchugna traffic hai,report_delay,augmented_spelling
bhi tyre puncture ki wjh se 10 minute late honga,report_delay,abbreviated
bheed ke karan delay hoga,report_delay,augmented_spelling
5 min late pahunchunga petorl khatam hai,report_delay,augmented_spelling
bhaiya petrol khatam ki wjh se 15 mins late honga,report_delay,abbreviated
gsp hang ho gaya,navigation_help,augmented_spelling
late ho jaunga aadh ghanta,report_delay,casual_hindi
ustad baarish ki waah se aadh ghanta late honga,report_delay,augmented_spelling
baarih ki wajah se 5 min late honga,report_delay,augmented_spelling
10 minute late pahunchunga baarish hai,report_delay,casual_hindi
10 minute late pahunchunga tyre puncture h,report_delay,abbreviated
gps hang ho gaya,navigation_help,abbreviated
traffic ke karan delay hoga,report_delay,abbreviated
5 min late pahuncunga bheed hai,report_delay,augmented_spelling
ek ghanta late pahunchunga bheed hi,report_delay,augmented_spelling
ustad tyre puncture ki wajah se 20 min late honga,report_delay,augmented_spelling
location samajh nai aa rha,navigation_help,abbreviated
20 mn late pahunchunga tyre puncture hai,report_delay,augmented_spelling
bhai nxt order ka address batao,get_address,augmented_spelling
traffic ke karan delay hoga,report_delay,abbreviated
late ho jaunga 15 mins,report_delay,abbreviated
baarish ki wjh se 15 mins late honga,report_delay,abbreviated
late ho jaunga 10 minute,report_delay,abbreviated
5 min late pahunchunga traffic hai,report_delay,abbreviated
bhai petrol hatam ki wajah se aadh ghanta late honga,report_delay,augmented_spelling
10 minute late pahunchunga petrol khatam h,report_delay,abbreviated
aadh ghanta late pahunchunga accident h,report_delay,abbreviated
bhaiya petrol khatam ki wajah se 10 minute late honga,report_delay,casual_hindi
15 mins late pahunchunga accident h,report_delay,abbreviated
10 minute late pahunchunga trafic hai,report_delay,augmented_spelling
15 mins late pahunchunga accident hai,report_delay,casual_hindi
petrol khatam ki wajah se aadh ghanta late honga,report_delay,abbreviated
late ho jaunga 10 minute,report_delay,abbreviated
15 mins late pahunchunga traffic h,report_delay,abbreviated
20 min late pahunchunga baarish h,report_delay,abbreviated
20 min late pahunchunga tyre puncture hai,report_delay,augmented_spelling
15 mins late pahunchunga perol khatam hai,report_delay,augmented_spelling
bheed ki wjh se 20 min late honga,report_delay,abbreviated
10 minute late pahunchunga tyre puncture hai,report_delay,augmented_spelling
10 minute late pahunchunga petrol khatam h,report_delay,abbreviated
bhaiya next order ka dadress batao,get_address,augmented_spelling
item missing hai,order_issue,augmented_spelling
5 mins late pahunchunga traffic hai,report_delay,augmented_spelling
20 min late pahunchunga petrol khatam hai,report_delay,abbreviated
bhai accident ki wajah se 20 min late honga,report_delay,augmented_spelling
location send karo guru,get_address,augmented_spelling
bawa baarish ki wajah se aadh ghanta late honga,report_delay,casual_hindi
5 min late pahunchunga bheed h,report_delay,abbreviated
late ho jaunga 5 min,report_delay,abbreviated
ek ghanta late pahuncuhnga accident hai,report_delay,augmented_spelling
kripya mujhe aane mein 10 minute lagenge,report_delay,formal_hindi
boss accident ki wajah se 15 mins late honga,report_delay,casual_hindi
late ho jaunga ek ghatna,report_delay,augmented_spelling
bh tyre puncture ki wjh se 5 min late honga,report_delay,abbreviated
10 minute late pahunchunga tyre puncture h,report_delay,abbreviated
5 min late pahunchunga accident hai,report_delay,augmented_spelling
bawa customer kidhar hai,get_address,casual_hindi
yaar aarish ki wajah se 5 min late honga,report_delay,augmented_spelling
ek ghanta late pahunchunga baarish hai,report_delay,casual_hindi
ustad traffic ki wjh se ek ghanta late honga,report_delay,abbreviated
bhai petrol khatam ki waja hse 5 min late honga,report_delay,augmented_spelling
ek ghanta late pahunchunga petrol khatam hai,report_delay,casual_hindi
location samajh nahi aa raha,navigation_help,augmented_spelling
number not reachable h,customer_unavailable,abbreviated
20 min late pahunchunga tyre punctrue hai,report_delay,augmented_spelling
ek ghanta late pahunchunga bheed h,report_delay,abbreviated
ustad traffic ki wajah se 15 mins late honga,report_delay,augmented_spelling
ek ghanta late pahunchunga accident h,report_delay,abbreviated
5 min late paunchunga accident hai,report_delay,augmented_spelling
bhai trfafic ki wajah se 10 minute late honga,report_delay,augmented_spelling
gate par koi nahi hai guru,customer_unavailable,augmented_spelling
bheed ki vjh se 10 minute late honga,report_delay,abbreviated
10 minute late pahunchunga petrol khatam hai,report_delay,augmented_spelling
accident ki wajah se 5 min late honga,report_delay,augmented_spelling
20 min late pahunchunga traffic hai,report_delay,casual_hindi
20 min late pahunchnga baarish hai,report_delay,augmented_spelling
ustad traffic ki wajah se ek ghanta late hogna,report_delay,augmented_spelling
bhai petrol khatam ki wajah se ek ghanta late honga,report_delay,casual_hindi
number not reachable hai,customer_unavailable,casual_hindi
rasta dikhao yaar,navigation_help,abbreviated
ordr cancel kar do,order_issue,augmented_spelling
15 mins late pahunchunga bheed hai,report_delay,abbreviated
number not reachable hai,customer_unavailable,augmented_spelling
bhaiya accident ki wajah se aad hghanta late honga,report_delay,augmented_spelling
ustad tyre puncture ki wajah se 10 minute late honga,report_delay,abbreviated
rasta dikhao,navigation_help,casual_hindi
5 min late pahunchunga bheed h,report_delay,abbreviated
5 min late pahunchunga tyre puncture hai,report_delay,casual_hindi
boss tyre puncture ki wajah se 5 min late honga,report_delay,abbreviated
ustad accident ki wajah se ek ghanta late honga,report_delay,casual_hindi
yaar tyre puncture ki wajah se 10 minute late honga,report_delay,casual_hindi
late ho jaunga 20 min,report_delay,casual_hindi
location samajh nahi aa rha,navigation_help,abbreviated
sir parcel kshatigrast h,order_issue,abbreviated
sir mujhe aane mein aadh ghanta lagenge,report_delay,augmented_spelling
boss bheed ki vjh se 10 minute late honga,report_delay,abbreviated
bhaiya petrol khatam ki wajah se 10 minute late honga,report_delay,augmented_spelling
yaar petrol khatam ki wajah se 15 mins late honga,report_delay,augmented_spelling
baarish ke karan delay hoga,report_delay,abbreviated
bhaiya petrol khatam ki vjh se 10 minute late honga,report_delay,abbreviated
20 min late pahunchunga petrol khatam hai,report_delay,augmented_spelling
guru tyre puncture ki wajah se ek ghanta late honga,report_delay,abbreviated
yaar bheed ki wajah se 20 min late honga,report_delay,casual_hindi
sir mujhe aane mein ek ghanta lagenge,report_delay,augmented_spelling
baarish ki wajah se 15 misn late honga,report_delay,augmented_spelling
bhaiya accident ki wjh se 15 mins late honga,report_delay,abbreviated
